target_taxon	panel_layer	taxonomic_group	target_reason
Methanosarcina acetivorans	layer_1_methanosarcina	Methanosarcina	query species; fixed query assembly retained
Methanosarcina mazei	layer_1_methanosarcina	Methanosarcina	close congeneric representative
Methanosarcina barkeri	layer_1_methanosarcina	Methanosarcina	close congeneric representative
Methanosarcina siciliae	layer_1_methanosarcina	Methanosarcina	close congeneric representative
Methanosarcina horonobensis	layer_1_methanosarcina	Methanosarcina	close congeneric representative
Methanosarcina vacuolata	layer_1_methanosarcina	Methanosarcina	close congeneric representative
Methanosarcina thermophila	layer_1_methanosarcina	Methanosarcina	close congeneric representative
Methanococcoides burtonii	layer_2_methanosarcinales	Methanosarcinales	non-Methanosarcina Methanosarcinales representative
Methanohalophilus mahii	layer_2_methanosarcinales	Methanosarcinales	non-Methanosarcina Methanosarcinales representative
Methanolobus psychrophilus	layer_2_methanosarcinales	Methanosarcinales	non-Methanosarcina Methanosarcinales representative
Methanomethylovorans hollandica	layer_2_methanosarcinales	Methanosarcinales	non-Methanosarcina Methanosarcinales representative
Methanothrix soehngenii	layer_2_methanosarcinales	Methanosarcinales	aceticlastic Methanosarcinales representative
Methanosalsum zhilinae	layer_2_methanosarcinales	Methanosarcinales	non-Methanosarcina Methanosarcinales representative
Methermicoccus shengliensis	layer_2_methanosarcinales	Methanosarcinales	non-Methanosarcina Methanosarcinales representative
Methanobrevibacter smithii	layer_3_other_methanogens	Methanobacteriales	major methanogenic lineage representative
Methanobacterium formicicum	layer_3_other_methanogens	Methanobacteriales	major methanogenic lineage representative
Methanocaldococcus jannaschii	layer_3_other_methanogens	Methanococcales	major methanogenic lineage representative
Methanococcus maripaludis	layer_3_other_methanogens	Methanococcales	major methanogenic lineage representative
Methanospirillum hungatei	layer_3_other_methanogens	Methanomicrobiales	major methanogenic lineage representative
Methanoculleus marisnigri	layer_3_other_methanogens	Methanomicrobiales	major methanogenic lineage representative
Methanocella paludicola	layer_3_other_methanogens	Methanocellales	major methanogenic lineage representative
Methanomassiliicoccus luminyensis	layer_3_other_methanogens	Methanomassiliicoccales	major methanogenic lineage representative
Haloferax volcanii	layer_4_non_methanogenic_archaea	Haloarchaea	non-methanogenic archaeal representative
Halobacterium salinarum	layer_4_non_methanogenic_archaea	Haloarchaea	non-methanogenic archaeal representative
Thermococcus kodakarensis	layer_4_non_methanogenic_archaea	Thermococcales	non-methanogenic archaeal representative
Pyrococcus furiosus	layer_4_non_methanogenic_archaea	Thermococcales	non-methanogenic archaeal representative
Sulfolobus acidocaldarius	layer_4_non_methanogenic_archaea	Sulfolobales	non-methanogenic archaeal representative
Archaeoglobus fulgidus	layer_4_non_methanogenic_archaea	Archaeoglobales	non-methanogenic archaeal representative
Nitrosopumilus maritimus	layer_4_non_methanogenic_archaea	Nitrososphaerota	non-methanogenic archaeal representative
Thermoplasma acidophilum	layer_4_non_methanogenic_archaea	Thermoplasmatales	non-methanogenic archaeal representative
